COLLECT_TARGET_ID,MSISDN,RELATIONSHIP_ACCOUNT,RELATIONSHIP_NAME,LOCAL_ACTION,MAIL_SEND_TIME,CONTENT,MAIL_VIEW_STATUS,MAIL_SAVE_FOLDER,PRIVACYCONFIG,DELETE_STATUS,DELETE_TIME
350000282600100100201407241440237054203478603080281087990,15080329675,106573028008,lynn2013121,01,1373506388,银河虎园看势：股指大幅反弹有助于市场震荡筑底格局形成。关注政策面的变化。预计短期A股市场将在2000点处做强势震荡【银河虎园】,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,10086700125105642,lynn2013121,01,1372129032,尊敬的神州行客户，您好！感谢您使用中国移动10086自助引导菜单，请抽空回复以下数字对刚才的自助菜单服务进行评价，“非常好=10分”请回复A，“很好=9分”请回复B，“好=8分”请回复C，“一般（即差）=7分”请回复D，例如：您选择了“非常好=10分”，请直接回复A，也可在字母后加上您的建议，接收和回复本短信均免费。“10分”满意，源于我们的“百分”努力。中国移动,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,10086,移动,01,1372128878,一、资费介绍：为了让您享受更多流量，更少资费，我司推出多种移动数据流量套餐（5元/10元/20元/50元），其中移动数据流量5元套餐，套餐费5元/月，每月赠送30M的国内移动数据流量，发送74033到10086申请开通，发送740330到10086取消；移动数据流量10元套餐，套餐费10元/月，每月赠送70M的国内移动数据流量，发送74035到10086申请开通，发送740350到10086取消；如需开通更高档次套餐，请发送742到10086根据短信提示回复办理。提醒：包月套餐费用在生效时立即收取或次月月初一次性收取，套餐使用流量超出后按0.01元/10K计费，流量尾数不足10K按10K计；套餐月流量封顶15G，套餐月使用费封顶500元。套餐生效当月，套餐费按日折算后立即收取，数据流量按日折算一次性提供；次月起套餐费月初全额收取，数据流量全额提供。二、如果您开通上网套餐后手机无法上网，建议先设置好手机上网参数，您可以通过电脑登录中国移动福建公司网站www.fj.10086.cn点击进入“网上营业厅→业务办理→通信类→手机参数设置”按菜单提示办理，即可收到相应配置信息，进行手机上网参数和彩信参数配置。配置过程中可能因为机型不同操作方式有所不同，您也可联系手机厂商客服进行咨询。,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,106573028008,lynn2013121,01,1371518373,银河虎园看势：汇金再度增持向市场释放积极的信号。关注基本面和投资者情绪的变化。预计短期A股市场将继续震荡整理【银河虎园】,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13800592107,lynn2013121,01,1371516359,中国移动来电提醒业务提醒您：您关机/不在服务区/遇忙/无应答期间 ，13800592107呼入1次，最近为06月18日08时39分。,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,10086,移动,01,1369193815,欢迎进入e100短信营业厅，请回复序号：0、业务查询与退订；1、话费信息服务；2、最新优惠资讯；3、业务办理；5、我的短信营业厅；7、套餐办理。110、手机充值卡充值也可直接回复你要办理的业务中文名称进行搜索，例如“彩铃”、“来电显示”等；回复“天气”、“日期”可查询当天天气及日期。,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,106573028008,lynn2013121,01,1373506388,银河虎园看势：股指大幅反弹有助于市场震荡筑底格局形成。关注政策面的变化。预计短期A股市场将在2000点处做强势震荡【银河虎园】,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402615,哈哈！你现在好吗,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402628,呵呵…必须的,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402651,这是啥态度,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402681,真的吗？你这孩子,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402712,恩，难道不是,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402730,还是上班拉,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402768,还乐意帮我…真开心,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,蓝图,01,1353402858,唉！时间不好办,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13955550130,白小燕,01,1353383353,你是谁啊?,未,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,15759240281,蓝本,01,1353383530,这两天风声紧，等过两天宽松了,已,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,13955550107,丁萧萧,01,1353383699,你好，你打错电话了吧,未,01,,1,
350000282600100100201407241440237054203478603080281087990,15080329675,15804281843,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,555,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,123456,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5996452,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,9874563210,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5994681,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5991543,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,05911234567,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,05927894561,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10086,lynn2013121,02,1403145271,哈哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10086,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,15080329675,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,05927894561,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,9874563210,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,05911234567,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,222,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,111,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,333,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,123456,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5996452,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5991543,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,444,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,15804281843,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,05925996455,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5994681,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,15080339665,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,5965852,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,555,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,18064582852,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13955550081,lynn2013121,02,1403145350,嗨嗨,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10086,lynn2013121,02,1369193796,10086,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13400642903,lynn2013121,02,1376288003,彩信我发了一张图片给你，点击[http://pinyin.cn/1LS6YPXxzbJ] 看看吧。,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10086,lynn2013121,02,1376990173,咯哦来咯,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353403073,真的,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353403029,以后找你天天聊,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353403017,羡慕你,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353403002,上班时间你还可以聊天哈,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353402955,呵呵！真的假的,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353402938,你能不能速度点！太慢了,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353402912,有空一起去听,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353402892,我也是啦,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353402811,你说的好深奥,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,10000,lynn2013121,02,1353402795,不觉那,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13950127628,lynn2013121,02,1353402368,现在都要疯了,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13950127628,lynn2013121,02,1353402356,是啊,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402318,或许吧,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402305,还这个,已,02,,0,
350000282600100100201407241440237054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402298,哎呀,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402290,现在不能休息,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402274,有那么好,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402259,明天干嘛,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402236,我也很乐意帮你,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,13600907644,lynn2013121,02,1353402219,真的那,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,10000,lynn2013121,02,1353401454,时间难那,已,02,,0,
350000282600100100201407241440247054203478603080281087990,15080329675,10086,lynn2013121,02,1353401430,时间这不多,已,02,,0,
